VIN,Model,Trim,MSRP,Year,Term,ModelNumber,ModelDescription,LeaseCash,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Residual
,,,,2025,39,51402REZ,4dr Wgn SE (Standard Range),14000,0.00261,0.00261,0.00279,0.00292,0.0031,0.00323,0.0033,-,0.45
,,,,2025,39,51412AEZ,4dr Wgn SE,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,51412REZ,4dr Wgn SE,14000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.47
,,,,2025,39,51442AEZ,4dr Wgn SEL,14000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,-,0.49
,,,,2025,39,51442REZ,4dr Wgn SEL,14250,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00325,-,0.49
,,,,2025,39,51452AEZ,4dr Wgn XRT,14250,0.00252,0.00252,0.0027,0.00283,0.00301,0.00314,0.00321,-,0.49
,,,,2025,39,51462AEZ,4dr Wgn Limited,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.49
,,,,2025,39,51462REZ,4dr Wgn Limited,12750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.51
,,,,2025,39,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,13500,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.5
,,,,2025,48,50402REZ,4dr Wgn SE (Standard Range),12250,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.42
,,,,2025,48,50412AEZ,4dr Wgn SE,12250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.46
,,,,2025,48,50412REZ,4dr Wgn SE,12750,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.45
,,,,2025,48,50442AEZ,4dr Wgn SEL,13250,0.00298,0.00298,0.00318,0.00335,0.00361,0.00375,0.00389,-,0.46
,,,,2025,48,50442REZ,4dr Wgn SEL,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,48,50452AEZ,4dr Wgn XRT,12000,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.49
,,,,2025,48,50462AEZ,4dr Wgn Limited,11750,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,50462REZ,4dr Wgn Limited,12500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2025,48,504C2AEZ,4dr Wgn XRT w/ Tow Hitch,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.47
,,,,2025,48,51402REZ,4dr Wgn SE (Standard Range),12250,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.42
,,,,2025,48,51412AEZ,4dr Wgn SE,12250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.46
,,,,2025,48,51412REZ,4dr Wgn SE,12750,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.45
,,,,2025,48,51442AEZ,4dr Wgn SEL,13250,0.00298,0.00298,0.00318,0.00335,0.00361,0.00375,0.00389,-,0.46
,,,,2025,48,51442REZ,4dr Wgn SEL,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.48
,,,,2025,48,51452AEZ,4dr Wgn XRT,12000,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.49
,,,,2025,48,51462AEZ,4dr Wgn Limited,11750,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,51462REZ,4dr Wgn Limited,12500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2025,48,514C2AEZ,4dr Wgn XRT w/ Tow Hitch,12750,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00426,-,0.47
,,,,2025,24,5N4A2AEZ,4dr Wgn N,10250,0.00018,0.00018,0.00031,0.00044,0.00057,0.00071,0.00092,-,0.5
,,,,2025,36,5N4A2AEZ,4dr Wgn N,12500,0.00137,0.00137,0.00155,0.00168,0.00186,0.00199,0.00206,-,0.45
,,,,2025,39,5N4A2AEZ,4dr Wgn N,11750,0.00211,0.00211,0.00229,0.00242,0.0026,0.00273,0.0028,-,0.43
,,,,2025,48,5N4A2AEZ,4dr Wgn N,12250,0.00187,0.00187,0.00207,0.00224,0.0025,0.00264,0.00278,-,0.36
,,,,2025,24,A0412AEZ,4dr Wgn SE,13000,0.00226,0.00226,0.00239,0.00252,0.00265,0.00279,0.00293,-,0.6
,,,,2025,24,A0412REZ,4dr Wgn SE,10750,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.64
,,,,2025,24,A0442AEZ,4dr Wgn SEL,15500,0.00231,0.00231,0.00244,0.00257,0.0027,0.00284,0.00298,-,0.57
,,,,2025,24,A0442REZ,4dr Wgn SEL,14250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.58
,,,,2025,24,A0462AEZ,4dr Wgn Limited,15750,0.00228,0.00228,0.00241,0.00254,0.00267,0.00281,0.00295,-,0.57
,,,,2025,24,A0462REZ,4dr Wgn Limited,14250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00311,-,0.59
,,,,2025,24,A0492REZ,4dr Wgn SE (Standard Range),11750,0.00231,0.00231,0.00244,0.00257,0.0027,0.00284,0.00298,-,0.57
,,,,2025,36,A0412AEZ,4dr Wgn SE,13250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.51
,,,,2025,36,A0412REZ,4dr Wgn SE,11250,0.00255,0.00255,0.00273,0.00286,0.00304,0.00317,0.0033,-,0.56
,,,,2025,36,A0442AEZ,4dr Wgn SEL,14000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.5
,,,,2025,36,A0442REZ,4dr Wgn SEL,12000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.54
,,,,2025,36,A0462AEZ,4dr Wgn Limited,14250,0.00254,0.00254,0.00272,0.00285,0.00303,0.00316,0.00329,-,0.5
,,,,2025,36,A0462REZ,4dr Wgn Limited,14000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00334,-,0.52
,,,,2025,36,A0492REZ,4dr Wgn SE (Standard Range),11250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.51
,,,,2025,39,A0412AEZ,4dr Wgn SE,11000,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00334,-,0.51
,,,,2025,39,A0412REZ,4dr Wgn SE,10250,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00331,-,0.53
,,,,2025,39,A0442AEZ,4dr Wgn SEL,12000,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.5
,,,,2025,39,A0442REZ,4dr Wgn SEL,11250,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00328,-,0.49
,,,,2025,39,A0462AEZ,4dr Wgn Limited,12000,0.00257,0.00257,0.00275,0.00288,0.00306,0.00319,0.00332,-,0.48
,,,,2025,39,A0462REZ,4dr Wgn Limited,11750,0.00256,0.00256,0.00274,0.00287,0.00305,0.00318,0.00331,-,0.5
,,,,2025,39,A0492REZ,4dr Wgn SE (Standard Range),10750,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00356,-,0.46
,,,,2025,48,A0412AEZ,4dr Wgn SE,10500,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.5
,,,,2025,48,A0412REZ,4dr Wgn SE,10000,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.51
,,,,2025,48,A0442AEZ,4dr Wgn SEL,11000,0.00303,0.00303,0.00323,0.0034,0.00366,0.0038,0.00394,-,0.48
,,,,2025,48,A0442REZ,4dr Wgn SEL,10750,0.003,0.003,0.0032,0.00337,0.00363,0.00377,0.00391,-,0.48
